Timestamp,Poids (kg)
2025-03-23T00:21:54.199,-627.440
2025-03-23T00:21:54.215,-627.440
2025-03-23T00:21:54.231,-628.560
2025-03-23T00:21:54.247,-628.560
2025-03-23T00:21:54.263,-635.780
2025-03-23T00:21:54.279,-635.780
2025-03-23T00:21:54.295,-645.780
2025-03-23T00:21:54.311,-645.780
2025-03-23T00:21:54.327,-644.680
2025-03-23T00:21:54.343,-630.780
2025-03-23T00:21:54.359,-630.780
2025-03-23T00:21:54.375,-630.780
2025-03-23T00:21:54.391,-630.780
2025-03-23T00:21:54.407,-631.900
2025-03-23T00:21:54.423,-631.900
2025-03-23T00:21:54.439,-618.560
2025-03-23T00:21:54.455,-618.560
2025-03-23T00:21:54.471,-606.900
2025-03-23T00:21:54.487,-606.900
2025-03-23T00:21:54.503,-616.900
2025-03-23T00:21:54.519,-616.900
2025-03-23T00:21:54.535,-628.000
2025-03-23T00:21:54.551,-628.000
2025-03-23T00:21:54.567,-628.000
2025-03-23T00:21:54.583,-628.000
2025-03-23T00:21:54.599,-626.900
2025-03-23T00:21:54.615,-626.900
2025-03-23T00:21:54.631,-626.900
2025-03-23T00:21:54.647,-625.780
2025-03-23T00:21:54.663,-625.780
2025-03-23T00:21:54.679,-619.680
2025-03-23T00:21:54.695,-619.680
2025-03-23T00:21:54.711,-620.780
2025-03-23T00:21:54.727,-620.780
2025-03-23T00:21:54.743,-638.000
2025-03-23T00:21:54.759,-638.000
2025-03-23T00:21:54.775,-647.440
2025-03-23T00:21:54.791,-647.440
2025-03-23T00:21:54.807,-646.340
2025-03-23T00:21:54.823,-636.900
2025-03-23T00:21:54.838,-636.900
2025-03-23T00:21:54.855,-604.680
2025-03-23T00:21:54.871,-604.680
2025-03-23T00:21:54.887,-579.120
2025-03-23T00:21:54.903,-579.120
2025-03-23T00:21:54.919,-603.000
2025-03-23T00:21:54.935,-603.000
2025-03-23T00:21:54.950,-641.900
2025-03-23T00:21:54.966,-641.900
2025-03-23T00:21:54.982,-649.680
2025-03-23T00:21:54.998,-649.680
2025-03-23T00:21:55.014,-648.560
2025-03-23T00:21:55.030,-648.560
2025-03-23T00:21:55.046,-636.900
2025-03-23T00:21:55.062,-636.900
2025-03-23T00:21:55.078,-629.680
2025-03-23T00:21:55.094,-639.120
2025-03-23T00:21:55.110,-639.120
2025-03-23T00:21:55.126,-638.000
2025-03-23T00:21:55.142,-638.000
2025-03-23T00:21:55.158,-624.120
2025-03-23T00:21:55.174,-624.120
2025-03-23T00:21:55.190,-630.220
2025-03-23T00:21:55.206,-630.220
2025-03-23T00:21:55.222,-631.340
2025-03-23T00:21:55.238,-631.340
2025-03-23T00:21:55.254,-632.440
2025-03-23T00:21:55.271,-632.440
2025-03-23T00:21:55.286,-644.120
2025-03-23T00:21:55.303,-644.120
2025-03-23T00:21:55.335,-638.000
